title,description,published,link,media,desc_tokens,text,topic
"나경원, 11일 대선 출마 선언… “국민·나라 지킬 것”",나경원 국민의힘 의원이 11일 국회 본청 앞 계단에서 대선 출마를 선언한다,2025-04-10 06:13:00,https://www.chosun.com/politics/politics_general/2025/04/10/4MQQXGOMSJGXPEB4KWDNG5SCXE/,조선닷컴,"['나경원', '국민', '의원', '11', '국회', '본청', '계단', '대선', '출마', '선언', 'ㄴ다']","나경원, 11일 대선 출마 선언… “국민·나라 지킬 것” 나경원 국민의힘 의원이 11일 국회 본청 앞 계단에서 대선 출마를 선언한다",-1
권영세 “이재명 한 마디에 서열 2위 국회의장 짓밟혀”,권영세 국민의힘 비상대책위원장은 10일 이재명 전 대표의 말 한마디에 민주당 국회의원들과 개딸들이 총동원돼 국가서열 2위인 국회의장마저 무자비하게 짓밟고 있다고 했다,2025-04-10 00:50:00,https://www.chosun.com/politics/assembly/2025/04/10/CMX73EG6HZFA3O7KKIE34QRPZE/,조선닷컴,"['권영세', '국민', '비상', '대책', '위원장', '10', '이재명', '대표', '민주당', '국회의원', '총동원', '국가', '서열', '국회', '의장', '자비', '짓밟', '다고']",권영세 “이재명 한 마디에 서열 2위 국회의장 짓밟혀” 권영세 국민의힘 비상대책위원장은 10일 이재명 전 대표의 말 한마디에 민주당 국회의원들과 개딸들이 총동원돼 국가서열 2위인 국회의장마저 무자비하게 짓밟고 있다고 했다,-1
“새 시대의 박정희 되겠다”...이철우 경북지사 대선 출마 선언,이철우 경북지사가 9일 경북 구미의 박정희 대통령 생가에서 제21대 대통령 선거 출마 선언을 했다 이 지사는 새로운 시대의 박정희가 되어 대한민국을 초일류 국가로 만들겠다고 했다 이어진 서울 여의도 국회 기자회견에는 국민의힘 이인선 정희용 임종득 인요한 이달희 의원 등이 찾았다,2025-04-09 05:54:00,https://www.chosun.com/politics/politics_general/2025/04/09/JSE5WB5KGRERHDVOKM6MHVEYMQ/,조선닷컴,"['이철우', '경북', '지사', '경북', '구미', '박정희', '대통령', '생가', '21', '대통령', '선거', '출마', '선언', '지사', '새롭', '시대', '박정희', '대한민국', '일류', '국가', '만들', '다고', '이어지', '서울', '여의도', '국회', '기자', '회견', '국민', '이인선', '정희용', '임종득', '인요한', '이달희', '의원']",“새 시대의 박정희 되겠다”...이철우 경북지사 대선 출마 선언 이철우 경북지사가 9일 경북 구미의 박정희 대통령 생가에서 제21대 대통령 선거 출마 선언을 했다 이 지사는 새로운 시대의 박정희가 되어 대한민국을 초일류 국가로 만들겠다고 했다 이어진 서울 여의도 국회 기자회견에는 국민의힘 이인선 정희용 임종득 인요한 이달희 의원 등이 찾았다,-1
이재명 오늘 당대표직 사퇴... 중도 겨냥 싱크탱크도 띄워,오는 6월 3일 조기 대선 일정이 확정되면서 더불어민주당 대선 주자들의 출마 선언이 잇따르고 있다 이재명 대표가 9일 당대표직을 내려놓고 본격적인 대선 준비에 나설 예정인 가운데 당내 경선에 도전하는 비명계 주자들의 발걸음도 바빠지고 있다 비명계 대표 주자인 김동연 경기도지사와 김경수 전 경남도지사는 8일 저녁 서울 모처에서 만나 경선 출마 여부에 대해 논의한 것으로 알려졌다,2025-04-08 13:12:00,https://www.chosun.com/politics/assembly/2025/04/08/YC2S2P3A5ZE7ZMZYS3D2UMXS7U/,조선닷컴,"['조기', '대선', '일정', '확정', '면서', '더불어민주당', '대선', '주자', '출마', '선언', '잇따르', '이재명', '대표', '대표', '내려놓', '본격', '대선', '준비', '나서', '예정', '가운데', '당내', '경선', '도전', '비명', '주자', '발걸음', '바쁘', '비명', '대표', '주자', '김동연', '경기', '도지사', '김경수', '경남', '도지사', '저녁', '서울', '모처', '만나', '경선', '출마', '대하', '논의', '알려지']",이재명 오늘 당대표직 사퇴... 중도 겨냥 싱크탱크도 띄워 오는 6월 3일 조기 대선 일정이 확정되면서 더불어민주당 대선 주자들의 출마 선언이 잇따르고 있다 이재명 대표가 9일 당대표직을 내려놓고 본격적인 대선 준비에 나설 예정인 가운데 당내 경선에 도전하는 비명계 주자들의 발걸음도 바빠지고 있다 비명계 대표 주자인 김동연 경기도지사와 김경수 전 경남도지사는 8일 저녁 서울 모처에서 만나 경선 출마 여부에 대해 논의한 것으로 알려졌다,-1
"북한군 10여명, 무장한 채 군사분계선 침범… 경고사격에 퇴각",북한군 10여 명이 8일 오후 5시쯤 동부전선 비무장지대DMZ에서 군사분계선MDL을 침범해 국군이 즉각 경고 방송 및 경고 사격을 했다고 합동참모본부가 밝혔다 지난 4일 윤석열 대통령 파면으로 국내 정국이 조기 대선으로 전환된 가운데 북한이 대남 도발에 나선 것 아니냐는 지적이 나온다 북한 병력들은 전원 무장 상태였던 것으로 알려졌다,2025-04-08 09:16:00,https://www.chosun.com/politics/diplomacy-defense/2025/04/08/NRC2XXSONJD4JK76KG73M6VDRM/,조선닷컴,"['북한군', '10', '오후', '동부', '전선', '무장', '지대', 'DMZ', '군사', '분계선', 'MDL', '침범', '국군', '즉각', '경고', '방송', '경고', '사격', '다고', '합동', '참모', '본부', '밝히', '지나', '윤석열', '대통령', '파면', '국내', '정국', '조기', '대선', '전환', '가운데', '북한', '대남', '도발', '나서', '냐는', '지적', '나오', 'ㄴ다', '북한', '병력', '전원', '무장', '상태', '알려지']","북한군 10여명, 무장한 채 군사분계선 침범… 경고사격에 퇴각 북한군 10여 명이 8일 오후 5시쯤 동부전선 비무장지대DMZ에서 군사분계선MDL을 침범해 국군이 즉각 경고 방송 및 경고 사격을 했다고 합동참모본부가 밝혔다 지난 4일 윤석열 대통령 파면으로 국내 정국이 조기 대선으로 전환된 가운데 북한이 대남 도발에 나선 것 아니냐는 지적이 나온다 북한 병력들은 전원 무장 상태였던 것으로 알려졌다",-1
‘6·3 대선’ 확정… 김문수·안철수 출사표,윤석열 대통령 파면으로 치러지는 21대 대통령 선거일이 6월 3일 화요일로 확정되자 국민의힘 등 범보수 진영의 대선 주자급 인사들이 줄줄이 출마 선언에 나섰다,2025-04-08 15:56:00,https://www.chosun.com/politics/2025/04/09/NX7ZY456BNCN3EIBMOKHEJWIRM/,조선닷컴,"['윤석열', '대통령', '파면', '치르', '21', '대통령', '선거일', '화요일', '확정', '국민의힘', '보수', '진영', '대선', '주자급', '인사', '줄줄이', '출마', '선언', '나서']",‘6·3 대선’ 확정… 김문수·안철수 출사표 윤석열 대통령 파면으로 치러지는 21대 대통령 선거일이 6월 3일 화요일로 확정되자 국민의힘 등 범보수 진영의 대선 주자급 인사들이 줄줄이 출마 선언에 나섰다,-1
‘대선 출마’ 안철수 손가락에 적힌 의문의 여섯 글자 포착… 무슨 뜻?,안철수 국민의힘 의원이 8일 대통령 선거 출마 선언을 할 때 손가락에 여섯 글자가 적혀있는 장면이 포착돼 온라인에서 논란이 일었다,2025-04-08 05:57:00,https://www.chosun.com/politics/politics_general/2025/04/08/P4WOQKVPSJCMLL3HWDISI76H7U/,조선닷컴,"['안철수', '국민', '의원', '대통령', '선거', '출마', '선언', '손가락', '글자', '적히', '장면', '포착', '온라인', '논란']",‘대선 출마’ 안철수 손가락에 적힌 의문의 여섯 글자 포착… 무슨 뜻? 안철수 국민의힘 의원이 8일 대통령 선거 출마 선언을 할 때 손가락에 여섯 글자가 적혀있는 장면이 포착돼 온라인에서 논란이 일었다,-1
김두관 대선 출마 “개헌 대통령되겠다…임기 단축 2년도 받아들여”,김두관 더불어민주당 전 의원이 대통령 선거에 출마하겠다고 선언했다 김 전 의원은 저는 개헌 대통령이라는 이름으로 출마를 결심했다 제7공화국을 위해 임기를 2년 단축해야 한다면 기쁘게 받아들이겠다며 대한민국의 대전환 국가 대개혁을 위해 분권형 4년 중임제 개헌을 해야 한다라고 했다,2025-04-07 02:21:00,https://www.chosun.com/politics/assembly/2025/04/07/P33PPKMHWNCQFHKQIWSSNLST2M/,조선닷컴,"['김두관', '더불어민주당', '의원', '대통령', '선거', '출마', '다고', '선언', '의원', '개헌', '대통령', '라는', '이름', '출마', '결심', '공화국', '위하', '임기', '단축', 'ㄴ다면', '기쁘', '받아들이', '다며', '대한민국', '전환', '국가', '개혁', '위하', '분권', '중임', '개헌', 'ㄴ다', '라고']",김두관 대선 출마 “개헌 대통령되겠다…임기 단축 2년도 받아들여” 김두관 더불어민주당 전 의원이 대통령 선거에 출마하겠다고 선언했다 김 전 의원은 저는 개헌 대통령이라는 이름으로 출마를 결심했다 제7공화국을 위해 임기를 2년 단축해야 한다면 기쁘게 받아들이겠다며 대한민국의 대전환 국가 대개혁을 위해 분권형 4년 중임제 개헌을 해야 한다라고 했다,-1
"양향자, 개혁신당 떠나 국힘 입당…“과학기술 힘으로 뉴보수”",삼성전자 최초 고졸 출신 임원을 지낸 양향자 전 개혁신당 의원은 10일 국민의힘에 입당했다양 전 의원은 이날 오후 국회에서 권영세 국민의힘 비상대책위원장과 만나 입당 원서를 제출했다권 위원장은 대한민국 미래를 위해 큰 결단을 내려주셔서 감사하다며 양 전 의원은 반도체 업계에서 입지전적인 경력을 쌓았고 독보적 전문성으로 국회에서 활약하셨다고 했다그러면서 전 세계는 기술 주도권을 위한 총성 없는 전쟁을 벌이고 있다며 산업에 조예가 깊은 분이 정치에서 큰 역할을 하실 수 있을 것이라고 밝혔다권 위원장은 국가가 위기에 처했을 때 이를 극복할 수 있는 유능함을 보수 세력이 가지고 있어야 한다며 역사적으로도 보수정당이 나라가 어려울 때 능력을 발휘해서 국가 역량을 올려놨다고 말했다권 위원장은 핵심산업으로 나라가 부강해질 때 국민이 윤택해질 수 있다며 양 전 의원이 새로운 국가 비전을 제시해 주시기를 바란다고 격려했다양 전 의원은 보수정당을 경제 첨단산,2025-04-10 15:41:00,https://www.donga.com/news/Politics/article/all/20250410/131389318/1,동아닷컴,"['삼성전자', '최초', '고졸', '출신', '임원', '지내', '양향자', '개혁신', '의원', '10', '국민의힘', '입당', '의원', '이날', '오후', '국회', '권영세', '국민', '비상', '대책', '위원장', '만나', '입당', '원서', '제출', '위원장', '대한민국', '미래', '위하', '결단', '내리', '어서', '감사', '다며', '의원', '반도체', '업계', '입지전', '경력', '독보', '전문', '국회', '활약', '다고', '그러', '면서', '세계', '기술', '주도', '위하', '총성', '전쟁', '벌이', '다며', '산업', '조예', '정치', '역할', '라고', '밝히', '위원장', '국가', '위기', '처하', '극복', '유능', '보수', '세력', '가지', '어야', 'ㄴ다며', '역사', '보수', '정당', '나라', '어렵', '능력', '발휘', '아서', '국가', '역량', '올려놓', '다고', '위원장', '핵심', '산업', '나라', '부강', '국민', '윤택', '다며', '의원', '새롭', '국가', '비전', '제시', '바라', 'ㄴ다고', '격려', '의원', '보수', '정당', '경제', '첨단산']","양향자, 개혁신당 떠나 국힘 입당…“과학기술 힘으로 뉴보수” 삼성전자 최초 고졸 출신 임원을 지낸 양향자 전 개혁신당 의원은 10일 국민의힘에 입당했다양 전 의원은 이날 오후 국회에서 권영세 국민의힘 비상대책위원장과 만나 입당 원서를 제출했다권 위원장은 대한민국 미래를 위해 큰 결단을 내려주셔서 감사하다며 양 전 의원은 반도체 업계에서 입지전적인 경력을 쌓았고 독보적 전문성으로 국회에서 활약하셨다고 했다그러면서 전 세계는 기술 주도권을 위한 총성 없는 전쟁을 벌이고 있다며 산업에 조예가 깊은 분이 정치에서 큰 역할을 하실 수 있을 것이라고 밝혔다권 위원장은 국가가 위기에 처했을 때 이를 극복할 수 있는 유능함을 보수 세력이 가지고 있어야 한다며 역사적으로도 보수정당이 나라가 어려울 때 능력을 발휘해서 국가 역량을 올려놨다고 말했다권 위원장은 핵심산업으로 나라가 부강해질 때 국민이 윤택해질 수 있다며 양 전 의원이 새로운 국가 비전을 제시해 주시기를 바란다고 격려했다양 전 의원은 보수정당을 경제 첨단산",-1
김두관 측 “경선 룰미팅서 ‘완전개방 오픈프라이머리’ 논의하자”,더불어민주당이 당내 대선 경선 규칙을 정하기 위한 대선특별당규준비위원회를 가동한 가운데 김두관 전 의원 측이 완전개방형 오픈프라이머리완전국민경선 도입을 재차 주장했다 김 전 의원은 지난 7일 민주당 주자들 중 가장 먼저 대선 출마를 공식화 했다김 전 의원 캠프 소속 백왕순 대변인은 10일 입장문을 통해 오늘 4시부터 민주당 제21대 대통령 후보 경선 룰 미팅이 시작된다며 저희 캠프는 민주당 후보 선출 방식으로 완전개방 오픈프라이머리대의원권리당원일반당원 등 포함를 제안한다고 했다 그는 완전개방 오픈프라이머리 경선에 대해 18세 이상 국민이면 누구나 주민등록증을 갖고 현장에 참여해 투표하는 방식이라며 비용이 많이 든다고 하지만 국민이 참여하는 후보 선출과 압도적인 대선 승리를 위해 당비를 사용하면 충분하다고 생각한다고 설명했다 백 대변인은 그동안 국민 전체가 참여하는 완전개방형 오픈프라이머리를 주장했으나 사실상 좌초됐다 최소한 당 내부,2025-04-10 14:39:00,https://www.donga.com/news/Politics/article/all/20250410/131388329/1,동아닷컴,"['더불어민주당', '당내', '대선', '경선', '규칙', '정하', '위하', '대선특별', '당규', '준비', '위원회', '가동', '가운데', '김두관', '의원', '완전', '개방', '오픈프라이머리', '완전', '국민', '경선', '도입', '재차', '주장', '의원', '지나', '민주당', '주자', '가장', '먼저', '대선', '출마', '공식', '의원', '캠프', '소속', '백왕순', '대변인', '10', '입장', '통하', '민주당', '21', '대통령', '후보', '경선', '미팅', '시작', 'ㄴ다며', '캠프', '민주당', '후보', '선출', '방식', '완전', '개방', '오픈프라이머리대의원권리당원일반당원', '포함', '제안', 'ㄴ다고', '완전', '개방', '오픈프라이머리', '경선', '대하', '18', '국민', '주민', '등록증', '현장', '참여', '투표', '방식', '라며', '비용', '많이', 'ㄴ다고', '국민', '참여', '후보', '선출', '압도', '대선', '승리', '위하', '당비', '사용', '충분하', '다고', '생각', 'ㄴ다고', '설명', '대변인', '그동안', '국민', '전체', '참여', '완전', '개방', '오픈프라이머리', '주장', '으나', '사실', '좌초', '최소한', '내부']",김두관 측 “경선 룰미팅서 ‘완전개방 오픈프라이머리’ 논의하자” 더불어민주당이 당내 대선 경선 규칙을 정하기 위한 대선특별당규준비위원회를 가동한 가운데 김두관 전 의원 측이 완전개방형 오픈프라이머리완전국민경선 도입을 재차 주장했다 김 전 의원은 지난 7일 민주당 주자들 중 가장 먼저 대선 출마를 공식화 했다김 전 의원 캠프 소속 백왕순 대변인은 10일 입장문을 통해 오늘 4시부터 민주당 제21대 대통령 후보 경선 룰 미팅이 시작된다며 저희 캠프는 민주당 후보 선출 방식으로 완전개방 오픈프라이머리대의원권리당원일반당원 등 포함를 제안한다고 했다 그는 완전개방 오픈프라이머리 경선에 대해 18세 이상 국민이면 누구나 주민등록증을 갖고 현장에 참여해 투표하는 방식이라며 비용이 많이 든다고 하지만 국민이 참여하는 후보 선출과 압도적인 대선 승리를 위해 당비를 사용하면 충분하다고 생각한다고 설명했다 백 대변인은 그동안 국민 전체가 참여하는 완전개방형 오픈프라이머리를 주장했으나 사실상 좌초됐다 최소한 당 내부,-1
"‘故 이예람 수사개입’ 혐의 전익수, 대법서 무죄 확정",고 이예람 중사 사건 수사에 부당 개입한 혐의로 재판에 넘겨진 전익수 전 공군본부 법무실장에게 무죄가 확정됐다 대법원 2부주심 오경미 대법관는 10일 오전 특정범죄 가중처벌 등에 관한 법률 위반면담강요 등 혐의로 기소된 전 전 실장에 대한 상고심에서 무죄를 선고한 원심을 확정했다 전 전 실장은 이 중사 사건 수사 당시 자신에게 사건 보안 정보를 전달한 군무원 양모씨에 대한 구속영장이 청구되자 군 검사에게 영장이 잘못됐다고 추궁하고 수사 내용을 확인하려 하는 등 위력을 행사한 혐의를 받는다공군 제20전투비행단 소속이었던 이 중사는 2021년 3월 선임인 장모 중사로부터 성추행을 당한 뒤 신고했지만 2차 가해에 시달리며 군 검찰 수사 도중 스스로 목숨을 끊었다이후 군 검찰의 부실 수사 논란이 불거지며 특검 수사가 진행됐다 특검은 군 검찰을 지휘감독했던 전 전 실장에 대한 의혹을 수사했지만 의혹의 발단이 됐던 녹취록이 허위로 밝혀지면서 2022년 9월 면담강요 혐,2025-04-10 11:03:00,https://www.donga.com/news/Society/article/all/20250410/131386777/1,동아닷컴,"['이예람', '중사', '사건', '수사', '부당', '개입', '혐의', '재판', '넘기', '전익수', '공군', '본부', '법무실장', '무죄', '확정', '법원', '주심', '오경미', '법관', '10', '오전', '특정', '범죄', '가중', '처벌', '관하', '법률', '위반', '면담', '강요', '혐의', '기소', '실장', '대하', '상고심', '선고', '원심', '확정', '실장', '중사', '사건', '수사', '당시', '사건', '보안', '정보', '전달', '군무원', '대하', '구속', '영장', '청구', '검사', '영장', '잘못', '다고', '추궁', '수사', '내용', '확인', '위력', '행사', '혐의', '는다', '공군', '20', '전투', '비행단', '소속', '중사', '2021', '선임', '중사', '성추행', '당하', '신고', '가해', '시달리', '검찰', '수사', '도중', '스스로', '목숨', '이후', '검찰', '부실', '수사', '논란', '불거지', '특검', '수사', '진행', '특검', '검찰', '지휘', '감독', '실장', '대하', '의혹', '수사', '의혹', '발단', '녹취록', '허위', '밝혀지', '면서', '2022', '면담', '강요']","‘故 이예람 수사개입’ 혐의 전익수, 대법서 무죄 확정 고 이예람 중사 사건 수사에 부당 개입한 혐의로 재판에 넘겨진 전익수 전 공군본부 법무실장에게 무죄가 확정됐다 대법원 2부주심 오경미 대법관는 10일 오전 특정범죄 가중처벌 등에 관한 법률 위반면담강요 등 혐의로 기소된 전 전 실장에 대한 상고심에서 무죄를 선고한 원심을 확정했다 전 전 실장은 이 중사 사건 수사 당시 자신에게 사건 보안 정보를 전달한 군무원 양모씨에 대한 구속영장이 청구되자 군 검사에게 영장이 잘못됐다고 추궁하고 수사 내용을 확인하려 하는 등 위력을 행사한 혐의를 받는다공군 제20전투비행단 소속이었던 이 중사는 2021년 3월 선임인 장모 중사로부터 성추행을 당한 뒤 신고했지만 2차 가해에 시달리며 군 검찰 수사 도중 스스로 목숨을 끊었다이후 군 검찰의 부실 수사 논란이 불거지며 특검 수사가 진행됐다 특검은 군 검찰을 지휘감독했던 전 전 실장에 대한 의혹을 수사했지만 의혹의 발단이 됐던 녹취록이 허위로 밝혀지면서 2022년 9월 면담강요 혐",-1
