Topic,Count,Name,Representation,Representative_Docs
-1,51,-1_출마_대선_김동연_경호처,"['출마', '대선', '김동연', '경호처', '대통령', '9일', '양향자', '김성훈', '윤석열', '의원이']","['민주당도 대선 레이스 막올라… 이재명 “새로운 일 시작” 김동연 “개헌 완수” 이재명 전 더불어민주당 대표가 9일 63 조기 대선 출마를 위해 당대표에서 사퇴하면서 민주당의 대선 경선 레이스가 본격 시작됐다 비명계의 김두관 전 의원이 지난 7일 경선 출마를 선언한 데 이어 이날은 김동연 경기지사가 해외 출국길에 출마를 선언했다 대선 출마 가능성이 거론되던 김부겸 전 총리는 민주당 대선 경선에 참여하지 않을 것이라고 밝혔다', '분노한 경호처 직원들 “김성훈 사퇴하라” 연판장 윤석열 전 대통령 체포 방해 혐의를 받는 대통령경호처 김성훈 차장왼쪽이광우 경호본부장이 지난달 21일 서울 마포구 서울서부지방법원에서 영장실질심사를 위해 법정으로 향하고 있다 정효진 기자 대통령경호처 직원들이 윤석열 전 대통령 파면 후에도 자리를 지키고 있는 김성훈 경호처 차장과 이광우 경호본부장의 사퇴를 요구하는 연판장을 돌리고 있는 것으로 10', '“대통령 등에 업고 사조직화”…경호처 직원들, 김성훈 사퇴 요구 연판장 대통령경호처 직원들이 윤석열 전 대통령의 파면 이후에도 자리를 지키고 있는 김성훈 경호처 차장과 이광우 경호본부장의 사퇴를 요구하는 연판장을 돌리는 것으로 10일 알려졌다 연판장']"
0,69,0_트럼프_미국_관세_권한대행,"['트럼프', '미국', '관세', '권한대행', '도널드', '방위비', '북한', '한덕수', '한미', '정부가']","['트럼프, 또 ‘관세·방위비’ 연계…‘패키지 협상’ 현실적 전략 필요 도널드 트럼프 미국 대통령 로이터 연합뉴스 도널드 트럼프 미국 대통령이 한국과의 관세 협상에서 주한미군 방위비 분담과 주둔 문제를 패키지로 다룰 수 있다는 입장을 재차 밝혔다 두 사안이 직접적으로 연계되는 것을 경계하는 한국 정부의 부담이 커졌다 미국이 상호관세 부과를 90일 유예한 만큼 미국 측 진의를 신중하게 파악해야 한다는 제언이 나왔다 경', '트럼프 “무역협상 때 韓·日 같은 동맹을 우선하라” 한미 간 통상 협상이 지난 8일 한덕수 대통령 권한대행 국무총리와 도널드 트럼프 미국 대통령의 통화를 계기로 사실상 개시됐다 양 정상은 통화에서 조선 협력과 한국의 미국산 액화천연가스LNG 구매 미국의 한국에 대한 무역 적자 방위비 분담금 문제 등을 거론했다 한 대행은 통상장관정인교 통상교섭본부장을 미국에 보냈다고 말했고 트럼프 대통령은 통화를 마치자마자 케빈 헤싯 국가경제위원회NEC 위원장에게 무역 협상에서 한국일본 같은 동맹을 우선하라고 지시했다 미국의 관세 정책에 보복 관세로 맞서는 중국에 비해 반발이 덜한 한일 등 우방부터 협상을 벌여 성과를 내겠다는 의도로 풀이된다 정 본부장은 9일 미국 워싱턴 DC에 도착해 제이미슨 그리어 미 무역대표부USTR 대표와 협의에 들어갔다 정 본부장은 현지에서 기자들과 만나 알래스카 LNG 건도 중요한 부분이고 이미 양국 간 협의가 진행되고 있는 조선도 미국 측이 가장 관심을 갖는 영역이라고 했다 이와 관련 정부 고위 관계자는 이날 브리핑에서 미국이 한국에 대해 부과한 25 관세를 조정하는 것이 최우선 목표라고 했다 이 관계자는 관세와 무역 수지 문제 방위비 분담금을 연동해 협상하자는 미국 측의 원스톱 쇼핑 제안에 대해 지금은 입장을 말하기 어렵다면서도 가능성을 배제하지 않았다 양국 정부는 여러 장관급 채널을 가동해 관련 협상을 진행할 것으로 전망된다', '트럼프 “원스톱 쇼핑”… 한국 방위비·관세 패키지 협상 시사 한덕수 대통령 권한대행 국무총리는 8일 밤 도널드 트럼프 미국 대통령과 28분가량 통화했다 123 비상계엄과 미국 트럼프 2기 행정부 출범 이후 한미 정상 간 통화는 처음이다 트럼프 대통령은 통화에서 대한 무역 적자 문제와 관세 조선업 협력 미국산 액화천연가스LNG 방위비 분담금 문제 등을 거론했다 한 대행은 한국과 미국이 윈윈하길 희망한다고 했다고 총리실이 전했다 양측 통화 직후 케빈 해싯 국가경제위원회NEC 위원장은 언론 인터뷰에서 트럼프가 무역 협상에서 한국일본 같은 동맹을 우선하라고 지시했다고 밝혔다']"
1,42,1_이재명_대선_진짜_더불어민주당,"['이재명', '대선', '진짜', '더불어민주당', '대표가', '출마를', '대표는', '출마', '공식', '10일']","['이재명, 대선 출마 선언···제 1국정 목표로 ‘경제 성장’ 제시 이재명 전 더불어민주당 대표가 10일 영상을 통해 21대 대선 출마를 공식 선언하고 있다 이 전 대표 유튜브채널 갈무리 이재명 전 더불어민주당 대표가 10일 오는 6월3일 열리는 제21대 대선 출마를 공식 선언했다 윤석열 전 대통령 파면으로 3년 만에 치러지는 조기 대선의 가장 유력한 주자가 본격적인 대선 행보를 펼치기 시작했다 짧은 선거 기간 동', '이재명 ""진짜 대한민국을 만들고 싶다""…대선 출마 공식 선언 더불어민주당 이재명 전 대표가 10일 영상 메시지를 통해 대선 출마의 각오와 의지를 밝혔다 사진이재명 캠프 제공이재명 전 더불어민주당 대표가 진짜 대한민국을 만들고 싶다며 대선 출마를 공식 선언했습니다', '[속보]이재명, 온라인 영상으로 21대 대선 출마 선언 “진짜 대한민국 만들 것” 10일 21대 대선 출마를 공식 선언한 이재명 전 더불어민주당 대표 이 전 대표 유튜브 채널 갈무리 이재명 전 더불어민주당 대표가 10일 진짜 대한민국을 만들겠다며 오는 6월3일 열리는 제21대 대선 출마를 공식 선언했다 이 전 대표는 이날 SNS 등에 공개한 출마 선언 영상에서 그냥 이름만 있는 대한민국이 아니라 진짜 대한민국을 만들고 싶다']"
2,41,2_헌법재판관_이완규_대통령_한덕수,"['헌법재판관', '이완규', '대통령', '한덕수', '함상훈', '지명한', '지명', '재판관', '법제처장과', '권한대행']","['민주당 “헌법재판관 후보자 청문회 보이콧 검토”  당에 헌법재판관 임명 저지추경 당부더불어민주당은 한덕수 대통령 권한대행 국무총리가 헌법재판관 후보자로 지명한 이완규 법제처장과 함상훈 서울고법 부장판사의 국회 인사청문회', '[단독]입법조사처 “韓대행 헌법재판관 지명은 위헌” 유권해석 국회 입법조사처가 10일 한덕수 대통령 권한대행 국무총리의 대통령 몫 헌법재판관 후보자 지명에 대해 권한대행의 권한 범위를 넘어선 위헌위법이라는 의견이 헌법학자들 사이에서 압도적이라는 유권해석을 내린 것으로 전해졌다 이에 따라 우원식 국회의장은 이르면 이날 한 권한대행의 이완규 법제처장과 함상훈 서울고법 부장판사 지명에 대해 권한쟁의심판 청구 및 효력정지 가처분 신청 등 법적 대응에 나선다는 방침이다입법조사처는 이날 헌법학계와 전문가 등을 상대로 유권해석을 두루 실시한 결과 압도적인 다수로부터 한 권한대행의 대통령 몫 헌법재판관 후보자 지명은 권한을 넘어선 위헌 위법행위라는 의견을 받았다고 우 의장 측에 전달했다 앞서 우 의장 측은 입법조사처에 한 대행의 인사청문회 요청이 적법한지 아닌지에 대한 유권해석을 해줄 것을 의뢰했다입법조사처는 선거를 통해 민주적 정당성을 부여받은 대통령만이 대통령 몫 헌법재판관 후보자 지명권 및 헌법재판관 임명권을 가질 수 있다고 본 것으', '마은혁 ‘韓대행 재판관 지명’ 헌법소원-가처분 주심 맡는다 한덕수 대통령 권한대행 국무총리가 대통령 몫 헌법재판소 재판관 후보자 2명을 지명한 것에 대한 헌법소원 및 효력정지 가처분 사건의 주심을 마은혁 재판관이 맡게 됐다법조계에 따르면 헌재는 10일 무작위 전차 추첨 방식으로 주심을 마 재판관에게 배정했다 주심은 사실관계 확인과 결정문 초안 작성 등의 역할을 맡는다한 권한대행은 8일 대통령 몫 헌재 재판관 후보자로 이완규 법제처장과 함상훈 서울고법 부장판사를 지명해 위헌 논란이 일었다 9일 김정환 법무법인 도담 변호사를 시작으로 법무법인 덕수 등은 대통령 고유 권한인 헌재 재판관 후보자 지명권을 권한대행이 행사하는 것은 위헌이라며 헌법소원을 청구하면서 재판관 지명의 효력을 정지해달라는 가처분을 함께 신청했다 10일까지 총 6건의 헌법소원 및 가처분 신청이 접수됐다마 재판관은 지난해 12월 26일 더불어민주당 추천의 국회 몫 후보자로 선출됐지만 한 권한대행이 임명을 보류하고 최상목 부총리도 조한창 정계선 재판관만 임명하면서']"
3,34,3_경선_후보_후보를_3일,"['경선', '후보', '후보를', '3일', '선출', '1차', '대선', '2차', '국힘', '50']","['국힘, 경선 1차서 4인 뽑고 2차서 2인 선출 국민의힘이 오는 6월 3일 열리는 대선 후보 선출 방식을 10일 확정했다 1차 경선에서 국민 여론조사 100로 후보를 4인으로 압축하고 2차 경선에서 2인으로 압축한 뒤 3차 경선에서 최종 후보를 선출하는 방안이다 모든 경선 여론조사에 역선택 방지 조항도 넣기로 했다', '국힘 경선, 1차서 후보 4명 압축…2차선 양자대결로 국민의힘은 10일 대통령 선거 후보 선출을 위한 경선 일정과 방식을 확정했다 1차 예비경선컷오프에서 일반국민 여론조사 100로 후보 4인을 추리고 2차 경선에서 당심 50와 민심 50로 후보를 2인으로 압축한 뒤 최종 후보를 선출하는 방식이다국민의힘 경선 선거관리위원회 부위원장을 맡은 이양수 당 사무총장은 이날 서울 영등포구 여의도 국회에서 열린 비상대책위원회의 직후 기자들과 만나 선관위 회의 결과를 바탕으로 비대위에서 이같은 대선 후보 선출 방안을 의결했다고 밝혔다국민의힘은 오는 1415일 후보 등록 신청을 받은 뒤 서류심사를 거쳐 16일 1차 경선 진출자를 발표한다 17일 미디어데이를 열어 흥행을 도모하고 토론회 조 추첨을 할 예정이다 18일부터 20일까지 사흘간 후보자 토론회가 열린다 이 사무총장은 프로야구나 프로축구에서 미디어데이를 열듯 국민적 관심을 일으키고 후보자들이 국민께 잘 홍보될 수 있도록 미디어데이를 하기로 했다고 설명했다이후', '국힘 경선룰 ‘1차에서 4명 압축, 최종 2명 결선’ 확정 국민의힘은 10일 63 대선 후보 경선에서 1차 경선컷오프에서 4명으로 후보를 압축한 뒤 과반 득표자가 없을 경우 2차 컷오프에서 2명으로 좁혀 3차 경선인 최종 결선을 치르는 컷오프 방식을 확정했다 지난 대선에서 1차 컷오프에서 8명 2차 컷오프에서 4명으로 압축한 뒤 대선 후보를 선출한 방식에서 변화를 준 것이다국민의힘은 이날 비상대책위원회를 열고 1차 경선은 국민여론조사 100 방식으로 2차 경선은 국민여론조사 50 당원투표 50 방식으로 진행하기로 했다 1차 경선에선 압축된 4명의 후보자 중 과반 득표자가 나오면 최종 경선 없이 대선 후보를 확정한다 과반 득표자가 없으면 2차 경선에서 후보 2명을 선출한 뒤 최종 결선을 치른다 1차 경선 결과는 22일 2차 경선 결과는 29일 발표된다 결선을 진행할 경우 5월 3일 전당대회를 열어 최종 후보자를 선출한다 이양수 선거관리위원회 부위원장은 이날 국민적 관심을 제고한다는 차원에서 2인 경선이']"
4,28,4_전한길_윤석열_대통령을_씨는,"['전한길', '윤석열', '대통령을', '씨는', '한국사', '강사', '대통령이', '관저에서', '이철우', '씨가']","['전한길 “어제 尹 만나…본인 감옥 가도 상관없지만 청년에 미안하다고 해” 한국사 강사 전한길 씨가 한남동 관저를 찾아 이사를 앞둔 윤석열 전 대통령을 만났다10일 전 씨는 전한길 뉴스 홈페이지에 다음과 같은 글을 올렸다 전한길 뉴스는 전 씨가 1인 미디어 언론사의 취지로 만든 사이트다전 씨는 윤 전 대통령과 악수할 때 지켜드리지 못한 미안함 선고가 기각돼 직무에 복귀하셨으면 얼마나 좋았을까라는 생각이 들었다고 밝혔다윤 전 대통령은 전 씨에게 나야 감옥에 가거나 죽어도 상관없지만 국민과 청년 세대는 어떡하나라고 말했다이에 전 씨는 그분의 마음은 온통 국민과 국가뿐이었다 한참 침묵할 수밖에 없었다고 심경을 전했다이어 그는 헌법학자 허영 교수의 기고문에서 국가긴급권은 대통령만이 판단할 수 있는 고도의 통치 행위이며 이를 이유로 처벌되거나 파면된 사례는 없다는 내용을 인용했다그러면서 헌재는 비상계엄 선포의 원인과 결과는 외면하고 과정만 부각했다 위법한 증거불법에 근거해 대통령을 파면했다며 이는 세계 탄', '""배신으로 큰 상처 받았다"" 퇴거는 안하고 관저 정치하는 윤석열 [자막뉴스] 윤석열 전 대통령의 비상계엄을 공개 지지해 온 강사 전한길 씨가 어제 한남동 관저를 찾아 윤 전 대통령을 만났습니다전 씨는 윤 전 대통령이 퇴', '""배신으로 큰 상처 받았다"" 퇴거는 안하고 관저 정치하는 윤석열 [자막뉴스] 윤석열 전 대통령의 비상계엄을 공개 지지해 온 강사 전한길 씨가 어제 한남동 관저를 찾아 윤 전 대통령을 만났습니다전 씨는 윤 전 대통령이 퇴']"
5,24,5_내일_오후_사저로_서초동,"['내일', '오후', '사저로', '서초동', '관저를', '한남동', '5시', '관저', '대통령이', '대통령']","['윤 전 대통령, 내일 오후 퇴거…정치 행보 이어갈 듯 9650 윤석열 전 대통령윤석열 전 대통령이 내일 오후 5시 서울 한남동 관저를 떠나 서울 서초동 자택으로 거처를 옮길 예정입니다대통령', '尹, 내일 오후 5시 관저 퇴거…40명 규모 사저 경호팀 편성 윤석열 전 대통령이 11일 오후 5시 한남동 관저를 떠나 서초동 사저로 이주한다 윤 전 대통령 측 관계자는 10일 윤 전 대통령은 내일 오후 5시 관저를 떠나 사저로 이동한다고 밝혔다 이 관계자는 대통령실 수석비서관 이상 참모들은 윤 전 대통령의 퇴거 시간에 맞춰 관저를 방문할 것이라며 별도의 메시지가 나올지 차량에서 내려 인사를 할지 등', '尹, 내일 오후 5시 대통령 관저 떠난다…반려동물 11마리도 함께 서초동으로 윤석열 전 대통령이 11일 오후 5시 서울 한남동 관저에서 서초동 사저로 거처를 옮긴다 10일 연합뉴스에 따르면 윤 전 대통령 측 관계자는 이날 윤 전 대통령은 내일 오후 5시']"
6,20,6_한덕수_국민의힘_권한대행_출마,"['한덕수', '국민의힘', '권한대행', '출마', '대선', '국무총리의', '권한대행을', '대통령', '권한대행의', '트럼프']","['국민의힘 내 한덕수 대선 출마론 확산, 민주당 “헛된 꿈 깨시라” 한덕수 대통령 권한대행 겸 국무총리가 10일 서울 종로구 정부서울청사에서 열린 국정현안관계장관회의에서 모두발언을 하고 있다 대통령실사진기자단 국민의힘에서 한덕수 대통령 권한대행 겸 국무총리의 대선 출마론이 확산되고 있다 당 안팎에서 한 권한대행의 출마 자격과 성공 가능성을 두고 비판이 나왔다 10일 국민의힘에서는 한 권한대행이 대선 경선에 나서야 ', '국힘 한덕수 차출론 시끌…“통합 적임자” vs “또 외부주자냐” 국민의힘 친윤친윤석열계 대선 주자들이 줄줄이 불출마를 선언하면서 한덕수 대통령 권한대행 국무총리의 출마 여부에 눈이 쏠리고 있다 국민의힘 내에서는 의원들 몇 십 명이 한 권한대행의 출마를 촉구하려고 모였다는 이야기도 나온다 당 선거관리위원회 관계자는 한 권한대행을 향해 이번 주 중까지는 결정을 하셔야 한다라고 말했다 한 대선 후보 캠프 관계자는 한 권한대행을 차출하자는 의원들이 물에 물 탄듯한 스타일의 한 권한대행을 휘어잡고 뜻대로 끌고 갈 수 있다고 생각하는 거 아니냐고 말했다10일 국민의힘에서 충청 중진인 4선 박덕흠 의원 3선 성일종 의원 등을 필두로 한 권한대행의 출마를 요청하기 위한 논의가 계속되고 있다 당 지도부 내에서도 한 권한대행의 출마 필요성에 공감하는 인사가 있는 것으로 전해졌다 성 의원은 이날 오후 국민의힘 호남 지역 당협위원장들이 한 권한대행의 출마를 촉구하는 기자회견을 주선하며 한 권한대행 차출론을 이어갔다국민의힘 내부에선 한 권', '한덕수, 출마 가능성 묻자 “그런 일 있으면 알려드리겠다” 친윤친윤석열계 인사들이 줄줄이 대선 불출마를 선언하면서 한덕수 대통령 권한대행 국무총리의 대선 출마 여부에 관심이 쏠리고 있다 한 권한대행은 10일 출마 가능성을 묻는 동아일보 질문에 그런 일이 있으면 알려드리겠다고 밝혔다 출마 가능성을 배제하지 않은 것으로 풀이된다 한 권한대행은 이날 오전 국정현안관계장관회의에서 출마 여부를 일절 언급하지 않았다 한 권한대행 측은 당장 출마나 불출마 여부를 밝힐 계획은 없다는 입장이다 한 정부 관계자는 정치인도 아닌 현직 총리이자 권한대행이 불출마를 선언하는 것도 이상하지 않으냐고 말했다 이에 2017년 대선 당시 황교안 대통령 권한대행 국무총리가 국무회의에서 조기 대선 일정을 확정한 후 곧바로 불출마 선언을 한 것과 대비된다는 이야기도 나온다 당시 자유한국당현 국민의힘 지도부는 황 권한대행의 대선출마를 위해 예비 경선 없이 본 경선에 참여시키는 특례까지 도입했었다국민의힘에선 친윤계 윤상현 의원이 한 권한대행을']"
7,19,7_한동훈_막아야_국민의힘_대표가,"['한동훈', '막아야', '국민의힘', '대표가', '대선', '나라', '국회', '앞에서', '대표는', '출마']","['한동훈, 대선 출마 선언…이재명 겨냥 ""괴물정권 탄생 막아야"" 국민의힘 한동훈 전 대표가 10일 서울 여의도 국회 분수대 앞에서 대선 출마 선언을 하고 취재진의 질문에 답하고 있다 사진연합뉴스한동훈 전 국민의힘 대표가 오늘10일 국회 본관 분수대 앞에서 21대 대통령', '한동훈, 대선 출마선언 “이재명도 사실상 탄핵…서태지처럼 내가 시대교체” 한동훈 전 국민의힘 대표가 10일 국회 분수대 앞에서 21대 대통령선거 출마 선언을 하고 있다 한수빈 기자 한동훈 전 국민의힘 대표가 10일 63 대선 출마를 선언했다 비상계엄 사태에서 자유로운 자신이 이재명 전 더불어민주당 대표를 이길 수 있는 주자라고 말했다 탄핵 찬성파였지만 윤석열 전 대통령 직접 비판을 자제하며 윤석열 정부 정책 일부를 계승', '“괴물 정권 탄생 막아야”…한동훈, 국회 광장서 대선 출사표[청계천 옆 사진관] 한동훈 전 국민의힘 대표가 돌아왔다10일 서울 여의도 국회 광장 분수대 앞에서 한동훈 전 국민의힘 대표가 대통령 선거도전을 공식 선언했다 한 전 대표는 이날 연설에서 국민이 먼저인 나라 중산층을 위한 나라 실용의 정치로 시대를 바꿔야 한다며 정치 교체 세대 교체시대 교체를 강조했다 총연설 시간은 45분 정치경제남북관계IT등 많은 내용을 담았다 한 전 대표는 기존의 80년대 운동권 세력의 퇴보를 주장하면서 4년 중임제 개헌 양원제 도입 비례대표제 폐지 선관위개혁 등을 포함한 제도 개혁 구상을 밝혔다 그는 같은날 대선 출마를 공식 선언한 이재명 전 더불어민주당 대표를 겨냥해 괴물정권이 탄생해 나라를 망치는 것은 막아야 한다고강조했다한 전 대표는 문화 대통령으로 불리는 서태지와 아이들을 거론해 눈길을 끌었다 록커가 랩과댄스를 하는 것에 배신감을 느낀 사람들이 많았지만 얼마 지나지 않아 그는 시대를 바꾸는 문화 대통령이 됐다며 시']"
